fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,484,2282,215,2,"Jeremy Stephens",0,21,48,1,1,0,0,0,0:28,484,2282,215,2,"Jeremy Stephens",5,30,7,8,6,7,18,44,0,1,0,0
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,485,2282,215,3,"Cub Swanson",0,28,52,0,0,0,0,0,0:02,485,2282,215,3,"Cub Swanson",16,38,3,5,2,2,19,43,2,2,0,0
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,486,2282,215,3,"Jeremy Stephens",0,12,33,0,3,0,0,0,1:13,486,2282,215,3,"Jeremy Stephens",4,25,1,1,4,4,8,26,1,4,0,0
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,487,2282,215,4,"Cub Swanson",0,22,37,0,0,0,0,0,0:12,487,2282,215,4,"Cub Swanson",9,20,0,1,6,9,13,28,2,2,0,0
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,488,2282,215,4,"Jeremy Stephens",0,13,40,0,3,0,0,0,0:59,488,2282,215,4,"Jeremy Stephens",10,35,0,0,1,3,10,36,1,2,0,0
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,489,2282,215,5,"Cub Swanson",0,27,74,0,0,0,0,0,0:00,489,2282,215,5,"Cub Swanson",22,64,2,3,3,7,27,74,0,0,0,0
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,490,2282,215,5,"Jeremy Stephens",0,20,81,0,0,0,0,0,0:00,490,2282,215,5,"Jeremy Stephens",18,75,0,3,2,3,20,81,0,0,0,0
1910,"UFC 199: Rockhold vs. Bisping 2","Max Holloway","Ricardo Lamas",Featherweight,U-DEC,NULL,3,5:00,345b1bc51f0f5e86,529,1910,179,1,"Max Holloway",0,26,49,0,0,0,0,0,0:20,529,1910,179,1,"Max Holloway",17,38,4,4,4,6,22,44,3,4,0,0
1910,"UFC 199: Rockhold vs. Bisping 2","Max Holloway","Ricardo Lamas",Featherweight,U-DEC,NULL,3,5:00,345b1bc51f0f5e86,530,1910,179,1,"Ricardo Lamas",0,18,36,0,2,0,0,0,0:25,530,1910,179,1,"Ricardo Lamas",4,21,4,4,10,11,16,33,2,3,0,0
1910,"UFC 199: Rockhold vs. Bisping 2","Max Holloway","Ricardo Lamas",Featherweight,U-DEC,NULL,3,5:00,345b1bc51f0f5e86,531,1910,179,2,"Max Holloway",0,46,78,0,0,2,2,0,1:10,531,1910,179,2,"Max Holloway",34,66,4,4,4,4,30,60,2,3,10,11
1910,"UFC 199: Rockhold vs. Bisping 2","Max Holloway","Ricardo Lamas",Featherweight,U-DEC,NULL,3,5:00,345b1bc51f0f5e86,532,1910,179,2,"Ricardo Lamas",0,20,45,0,3,0,0,0,0:04,532,1910,179,2,"Ricardo Lamas",13,37,0,0,6,7,18,43,0,0,1,1
1910,"UFC 199: Rockhold vs. Bisping 2","Max Holloway","Ricardo Lamas",Featherweight,U-DEC,NULL,3,5:00,345b1bc51f0f5e86,533,1910,179,3,"Max Holloway",0,39,86,0,0,0,0,0,0:08,533,1910,179,3,"Max Holloway",29,75,4,4,3,4,30,77,6,6,0,0
1910,"UFC 199: Rockhold vs. Bisping 2","Max Holloway","Ricardo Lamas",Featherweight,U-DEC,NULL,3,5:00,345b1bc51f0f5e86,534,1910,179,3,"Ricardo Lamas",0,28,56,0,1,0,0,0,0:16,534,1910,179,3,"Ricardo Lamas",18,45,0,0,9,10,23,51,4,4,0,0
1101,"UFC Fight Night: Mendes vs Lamas","Chad Mendes","Ricardo Lamas",Featherweight,KO/TKO,Punches,1,2:45,bbebfc54abbb1d8b,535,1101,100,1,"Chad Mendes",2,32,37,0,0,0,0,0,0:41,535,1101,100,1,"Chad Mendes",24,28,0,0,3,4,5,7,5,7,17,18
1101,"UFC Fight Night: Mendes vs Lamas","Chad Mendes","Ricardo Lamas",Featherweight,KO/TKO,Punches,1,2:45,bbebfc54abbb1d8b,536,1101,100,1,"Ricardo Lamas",0,8,22,0,0,0,0,0,0:00,536,1101,100,1,"Ricardo Lamas",2,16,0,0,6,6,8,22,0,0,0,0
937,"UFC 225: Whittaker vs. Romero 2","Mirsad Bektic","Ricardo Lamas",Featherweight,S-DEC,NULL,3,5:00,32990cbf8976d94b,537,937,86,1,"Ricardo Lamas",0,17,26,0,3,0,0,0,0:49,537,937,86,1,"Ricardo Lamas",1,9,10,11,1,1,1,9,11,12,0,0
937,"UFC 225: Whittaker vs. Romero 2","Mirsad Bektic","Ricardo Lamas",Featherweight,S-DEC,NULL,3,5:00,32990cbf8976d94b,538,937,86,1,"Mirsad Bektic",0,53,82,1,1,0,0,0,2:11,538,937,86,1,"Mirsad Bektic",2,15,9,10,1,3,3,14,8,11,1,3
937,"UFC 225: Whittaker vs. Romero 2","Mirsad Bektic","Ricardo Lamas",Featherweight,S-DEC,NULL,3,5:00,32990cbf8976d94b,539,937,86,2,"Ricardo Lamas",0,30,41,0,1,0,0,0,0:00,539,937,86,2,"Ricardo Lamas",5,15,9,10,4,4,10,21,8,8,0,0
937,"UFC 225: Whittaker vs. Romero 2","Mirsad Bektic","Ricardo Lamas",Featherweight,S-DEC,NULL,3,5:00,32990cbf8976d94b,540,937,86,2,"Mirsad Bektic",0,23,59,0,0,0,0,0,2:18,540,937,86,2,"Mirsad Bektic",7,37,3,5,3,3,7,33,6,12,0,0
937,"UFC 225: Whittaker vs. Romero 2","Mirsad Bektic","Ricardo Lamas",Featherweight,S-DEC,NULL,3,5:00,32990cbf8976d94b,541,937,86,3,"Ricardo Lamas",0,22,30,0,0,2,0,1,0:05,541,937,86,3,"Ricardo Lamas",2,10,2,2,0,0,4,10,0,0,0,2
937,"UFC 225: Whittaker vs. Romero 2","Mirsad Bektic","Ricardo Lamas",Featherweight,S-DEC,NULL,3,5:00,32990cbf8976d94b,542,937,86,3,"Mirsad Bektic",0,21,33,1,3,0,1,0,4:06,542,937,86,3,"Mirsad Bektic",3,13,3,3,0,0,5,15,0,0,1,1
1864,"UFC on FOX: Dos Anjos vs. Cowboy 2","Charles Oliveira","Myles Jury",Featherweight,SUB,"Guillotine Choke",1,3:05,164f56eb25d6a9b4,583,1864,175,1,"Charles Oliveira",0,10,16,1,1,1,2,0,0:11,583,1864,175,1,"Charles Oliveira",0,4,3,4,2,2,5,10,0,0,0,0
1864,"UFC on FOX: Dos Anjos vs. Cowboy 2","Charles Oliveira","Myles Jury",Featherweight,SUB,"Guillotine Choke",1,3:05,164f56eb25d6a9b4,584,1864,175,1,"Myles Jury",0,5,16,0,0,0,0,0,1:37,584,1864,175,1,"Myles Jury",3,14,1,1,1,1,5,16,0,0,0,0
644,"UFC Fight Night: Dos Santos vs. Ivanov","Chad Mendes","Myles Jury",Featherweight,KO/TKO,Punch,1,2:52,c3939438ae7934df,585,644,59,1,"Myles Jury",0,3,12,0,0,0,0,0,0:00,585,644,59,1,"Myles Jury",0,6,1,1,2,5,3,12,0,0,0,0
644,"UFC Fight Night: Dos Santos vs. Ivanov","Chad Mendes","Myles Jury",Featherweight,KO/TKO,Punch,1,2:52,c3939438ae7934df,586,644,59,1,"Chad Mendes",1,17,27,0,0,0,0,0,0:26,586,644,59,1,"Chad Mendes",16,24,0,0,1,3,2,5,0,0,15,22
1507,"UFC 215: Nunes vs Shevchenko 2","Jeremy Stephens","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,94c7e64ce88c9b9e,587,1507,140,1,"Jeremy Stephens",1,24,62,0,0,0,0,0,0:30,587,1507,140,1,"Jeremy Stephens",11,43,2,6,11,13,18,53,4,6,2,3
